"figure","mass","amplitude","toys_per_hypothesis","tail_3nu","tail_4nu","p3_corrected","p4_corrected","cls_corrected","q","observed_test_statistic","tested_point_index","figure_point_index"
"fig3b","0.10855370666298159","0.09261187281287937","5000","2403","562","0.4807038592281544","0.11257748450309939","0.2341930116472546","0.08854229154169166","-2.305247456588262","3811","90"
"fig3b","0.10855370666298159","0.1","5000","2368","531","0.47370525894821036","0.10637872425514897","0.22456732798649218","0.08269346130773844","-2.2991069660905623","3812","91"
"fig3b","0.10855370666298159","0.10797751623277094","5000","2381","572","0.47630473905218956","0.11457708458308338","0.24055415617128464","0.0907618476304739","-2.2924581692401773","3813","92"
"fig3b","0.10855370666298159","0.11659144011798317","5000","2415","563","0.48310337932413516","0.11277744451109778","0.23344370860927152","0.08862227554489102","-2.2852573352701313","3814","93"
"fig3b","0.10855370666298159","0.12589254117941676","5000","2375","546","0.4751049790041992","0.10937812437512498","0.2302188552188552","0.08562287542491502","-2.2774566824023452","3815","94"
"fig3b","0.10855370666298159","0.13593563908785256","5000","2374","550","0.47490501899620075","0.11017796440711858","0.232","0.08643271345730855","-2.2690039508915163","3816","95"
"fig3b","0.10855370666298159","0.14677992676220697","5000","2405","558","0.48110377924415115","0.11177764447110577","0.23233582709891937","0.08772245550889822","-2.259841921442785","3817","96"
"fig3b","0.10855370666298159","0.15848931924611134","5000","2403","554","0.4807038592281544","0.11097780443911218","0.23086522462562395","0.08694261147770446","-2.249907870079994","3818","97"
"fig3b","0.10855370666298159","0.1711328304161781","5000","2369","517","0.47390521895620874","0.10357928414317137","0.21856540084388187","0.07988402319536093","-2.2391329486517293","3819","98"
"fig3b","0.10855370666298159","0.18478497974222907","5000","2438","508","0.4877024595080984","0.10177964407118577","0.2086920869208692","0.07739452109578085","-2.2274414777241986","3820","99"
"fig3b","0.10855370666298159","0.19952623149688797","5000","2328","528","0.4657068586282743","0.10577884423115377","0.22713610991841995","0.08249350129974006","-2.214750135482177","3821","100"
"fig3b","0.10855370666298159","0.21544346900318834","5000","2299","544","0.45990801839632073","0.10897820435912818","0.23695652173913045","0.08598280343931214","-2.200967022128822","3822","101"
"fig3b","0.10855370666298159","0.23263050671536262","5000","2318","537","0.46370725854829037","0.10757848430313938","0.2319965502371712","0.08439312137572486","-2.185990573774177","3823","102"
