"figure","mass","amplitude","toys_per_hypothesis","tail_3nu","tail_4nu","p3_corrected","p4_corrected","cls_corrected","q","observed_test_statistic","tested_point_index","figure_point_index"
"fig3a","0.01","0.0008576958985908946","5000","2699","2814","0.5398920215956808","0.562887422515497","1.0","0.5358928214357129","-0.0018120874023566103","14","14"
"fig3a","0.01","0.001","5000","2787","2777","0.5574885022995401","0.555488902219556","0.996413199426112","0.5276144771045791","-0.0021126561850906","15","15"
"fig3a","0.01","0.001165914401179831","5000","2829","2823","0.5658868226354729","0.5646870625874825","0.9978798586572438","0.5363927214557088","-0.0024630639729252835","16","16"
"fig3a","0.01","0.0013593563908785254","5000","2814","2809","0.562887422515497","0.5618876224755049","0.9982238010657194","0.5337432513497301","-0.0028715691090610562","17","17"
"fig3a","0.01","0.001584893192461114","5000","2875","2820","0.5750849830033993","0.5640871825634873","0.9808762169680113","0.5353329334133173","-0.003347796284231208","18","18"
"fig3a","0.01","0.0018478497974222907","5000","2836","2890","0.5672865426914617","0.5780843831233753","1.0","0.5497200559888022","-0.003902961855203557","19","19"
"fig3a","0.01","0.002154434690031882","5000","2928","3003","0.5856828634273146","0.6006798640271945","1.0","0.5713957208558288","-0.004550136056764131","20","20"
"fig3a","0.01","0.0025118864315095794","5000","2926","2921","0.5852829434113177","0.5842831433713257","0.9982917663136317","0.5550189962007598","-0.005304548043426394","21","21"
"fig3a","0.01","0.0029286445646252374","5000","2883","3053","0.5766846630673865","0.6106778644271146","1.0","0.5818436312737453","-0.006183940632126905","22","22"
"fig3a","0.01","0.003414548873833601","5000","3043","3070","0.6086782643471306","0.6140771845630874","1.0","0.5836432713457308","-0.007208982661268237","23","23"
"fig3a","0.01","0.003981071705534973","5000","3079","3050","0.615876824635073","0.6100779844031193","0.9905844155844156","0.5792841431713657","-0.008403748081491358","24","24"
"fig3a","0.01","0.004641588833612782","5000","3055","3112","0.6110777844431113","0.6224755048990201","1.0","0.5919216156768646","-0.009796272245665705","25","25"
"fig3a","0.01","0.0054116952654646375","5000","3153","3097","0.6306738652269546","0.6194761047790442","0.9822447685478759","0.5879424115176966","-0.011419197390296176","26","26"
"fig3a","0.01","0.006309573444801929","5000","3146","3171","0.6292741451709658","0.6342731453709258","1.0","0.6028094381123775","-0.013310520988454755","27","27"
"fig3a","0.01","0.007356422544596414","5000","3164","3176","0.6328734253149371","0.6352729454109178","1.0","0.603629274145171","-0.015514462532109974","28","28"
"fig3a","0.01","0.008576958985908946","5000","3253","3190","0.6506698660267947","0.6380723855228955","0.980639213275968","0.6055388922215558","-0.018082466348147364","29","29"
"fig3a","0.01","0.01","5000","3213","3337","0.6426714657068586","0.6674665066986603","1.0","0.6353329334133173","-0.021074360226180033","30","30"
"fig3a","0.01","0.01165914401179831","5000","3343","3326","0.6686662667466506","0.6652669466106779","0.9949162679425838","0.6318336332733453","-0.02455969194448926","31","31"
"fig3a","0.01","0.013593563908785255","5000","3367","3315","0.6734653069386123","0.6630673865226955","0.984560570071259","0.6293941211757649","-0.02861926809396209","32","32"
"fig3a","0.01","0.01584893192461114","5000","3433","3388","0.6866626674665067","0.6776644671065787","0.9868957483983692","0.6433313337332534","-0.033346921823920184","33","33"
"fig3a","0.01","0.018478497974222907","5000","3443","3430","0.6886622675464907","0.6860627874425115","0.9962253193960511","0.6516296740651869","-0.038851538113135575","34","34"
"fig3a","0.01","0.021544346900318843","5000","3492","3469","0.6984603079384123","0.6938612277544491","0.9934154022330376","0.6589382123575285","-0.045259366575692184","35","35"
"fig3a","0.01","0.025118864315095794","5000","3474","3424","0.6948610277944411","0.6848630273945211","0.9856115107913669","0.6501199760047991","-0.05271665231430234","36","36"
"fig3a","0.01","0.029286445646252372","5000","3562","3527","0.7124575084983004","0.7054589082183563","0.9901768172888016","0.6698360327934413","-0.06139261435984622","37","37"
"fig3a","0.01","0.034145488738336005","5000","3570","3562","0.7140571885622875","0.7124575084983004","0.9977597311677402","0.676754649070186","-0.07148279797684154","38","38"
"fig3a","0.01","0.039810717055349734","5000","3593","3555","0.7186562687462508","0.7110577884423115","0.9894268224819142","0.6751249750049989","-0.08321282055794654","39","39"
"fig3a","0.01","0.046415888336127774","5000","3648","3512","0.7296540691861627","0.7024595080983803","0.9627295149355989","0.6659768046390722","-0.09684251938566035","40","40"
"fig3a","0.01","0.054116952654646375","5000","3618","3638","0.7236552689462108","0.7276544691061788","1.0","0.6914717056588683","-0.11267049128827011","41","41"
