local_numi_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
67,0,0,0,0,0,0,0,0,0,0,0,0,0.0065180787804859693,0.0035353816338390817,0.0071253307798877117,0.007576362404786984,0.013399172678649748,0.012022532432122693,0.02098588671929294,0.026780018588951501,0.03903561737243353,0.025750716175808815,0.046169785275534975,0.053647592952288596,0.081701911080831802,0.073093989230545817,0.089726009464044063,0.12947855263955488,0.17165158903850852,0.25434790381030353,0.13844821473245703,0.19075957896409382,0.14464459581599851,0.19510070185719947,0.12563630188824432,0.1288022205690369,0.12424968356597338,0.12461594201349754,0.126683013291573,0.14117149548556593,0.097115811226198404,0.08033034101993565,0.085306069285248171,0.10477300097724551,0.058160546067292561,0.036038522695270761,0.045064736906027046,0.056708048086668704,0.060021375674871667,0.030493584084079046,0.020271884206906666,0.020760992216668796,0.014075766848339524,0.021236165978511926,0.021366637942189192,0.012764685976737421,0,0.011741685810848508,0.028932723311833684,0.028529494745972502
68,0,0,0,0,0,0,0,0,0,0,0,0,1.80998743253039e-06,0.0027237706998883009,0.0046773680907914216,0.0037586970565234561,0.0053605424704775825,0.0071200054028549382,0.0071590567857940371,0.013701353847706689,0.016680666345904833,0.014726271416237282,0.019374863904597736,0.017044862963426385,0.029958403700746386,0.031708530707325565,0.043858192271370097,0.073292301679133642,0.085178770453727376,0.11560127055360231,0.0865412369103392,0.13905247011147562,0.099350197310025506,0.11401792575805056,0.088129793797441888,0.097265378742573655,0.070687880846435555,0.099679920700596059,0.095742114046583449,0.08407092461229039,0.046047166840467918,0.097844375588931859,0.086121380751198739,0.067892795415035886,0.10258150831754546,0.069119846352663564,0.068058728551022948,0.044898228594847808,0.069004432605776864,0.056209472623482769,0.035559162846873403,0.031410184665138174,0.038691297835617477,0.030230855445598077,0.0073115862802262703,0.02040578651238744,0.037879885506088812,0.030180477955702278,0.041549069423686059,0.013856792418343587
69,0,0,0,0,0,0,0,0.0054194680545090216,0,0,0,0.0016885245947498774,0.0051080580965269578,0.0032251348548775842,0.00061617924367682873,0.0048363424118030582,0.0036081888831923006,0.0069035893200788739,0.0027242865736102659,0.006456668732193015,0.0083442556580662994,0.0081134344656026269,0.012624602133545141,0.0056430486601307004,0.012816815196634515,0.012374839838386543,0.012502936742520615,0.029839045884119106,0.022582810577346776,0.036723145578867841,0.048579500876879934,0.06239331384145242,0.080132817146169738,0.071563920926070196,0.055645783034762482,0.074491052439590949,0.062289481972452342,0.074441176107200635,0.064613049218492855,0.055490460165349788,0.039830138388170566,0.027848162612975593,0.041352075856253744,0.061836650210626017,0.02858668055056169,0.024627008619300835,0.068412363151303682,0.054359897413689177,0.042591196403071685,0.048590567880342508,0.058838065562941792,0.027152695780103573,0.0080400149163940508,0.0062819430289105856,0.035264910122858199,0.017639887164991885,0.013592496728370681,0.023030816501685401,0.010535765711375262,0.023957151034576636
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011951512559668679,0,0,0.0031625451029800365,0.0084034661964450443,0.0024317187129027106,0.0053658050479943277,0.0024890778654090714,0.0055856978106654234,0.0077685155825591382,0.021303689630646355,0.016905788778175411,0.020281683839607496,0.0060946940201178877,0.019534694457539626,0.019145091426112437,0.021437403466612329,0.025558549585675466,0.019273747478491064,0.025321387815037778,0.052505684258038081,0.047686267250892179,0.062658264208265646,0.055676268443513623,0.040565985448154464,0.043896158998750753,0.033310165260524972,0.049137046273102822,0.044351120008727346,0.065518345219762172,0.022821944806525534,0.037652566308175504,0.067007018030845397,0,0.095536495600625174,0.0093474809204091222,0.011708360992711105,0.018831400773091398,0.0079714208329658733,0.015230931861065748,0.020345984789740167,0.056384382799733498,0.038532151414536774,0.01578946469606202,0.0090167095974910613,0.039228456918205278,0.053090104466653222
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041066750962857257,0.0013208655230705483,0.00072255893591590802,0.0036166986041547065,0.0050830655028151796,0.0031079904809235026,0.0034576991723791989,0.0063797536931526674,0.0074918794538624866,0.0068041622602219212,0.0059833856770714639,0.01111045440851236,0.01274224398400434,0.018174479085304635,0.013219195904710306,0.032922441882617531,0.015960775044136209,0.024341203159864402,0.036889291274910453,0.036652260428063854,0.03144562889697726,0.021684374226544616,0.042778312790328607,0.025869301943630681,0.018017798859117216,0.030343378405019248,0.042012619762956983,0.033873140117540418,0.067300370111049793,0.097241687407506924,0.02835890760740992,0.041784163736000378,0.061019322950561387,0.024091791208899808,0.03155749589946473,0.032761436993225111,0.012798824559207937,0.0092651199215961263,0.01940280701253887,0,0.019394766259806601,0.010881026391627231,0.019478131683395086
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071746617479112986,0.0018596975147320419,0.0025291662652557165,0.0028586041434595158,0.0030194450183987638,0.0038389635239309675,0.0042416693917959507,0.0073493326530960001,0.0040770263354665444,0.00094951126245136543,0.0059606954662454869,0.0032443058769694891,0.0059917148383465332,0.0013581715096679671,0.0073435785310730483,0.011311379406683912,0.025568606437973554,0.020420142459808509,0.011829674684644183,0.022206463672945407,0.029245275997952389,0.015154065650109015,0.050742242122971369,0.018031001887154018,0.029615795589480229,0.015721221930293735,0.033364027989181491,0.026457963005443851,0.048975112070707906,0.022120881707767034,0.057133756118106484,0.032830600121128629,0.023365051831686232,0.022046802190745268,0.027352965113189003,0,0.01685378601189794,0.009948323290587608,0.039624118091804571,0.010619611501297027,0.025539473471287915,0.011683385557159131,0.032581143266707753
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00046964516686314031,0,0.00254597263159512,0.00081540450505212072,0.001321655720632276,0,0.0029803950789146568,0.00051154318497918078,0.0012845261010838692,0.00045790431496889469,0.0013348170818985716,0.00079260925870223986,0.002258556512558203,0.0035251034099464907,0.0021037779677071998,0.00092457840840660737,0.0043921630824663169,0.007827040687338022,0.013324259351991209,0.0025234290796703712,0.0043729303054949546,0.0015123731549758674,0.0092173140868517765,0.0054437918288464289,0.036274648194152104,0.0052888293773446522,0.015042097196384663,0.01508824933345717,0.024975729759384058,0.02217964335494935,0.011524845833488102,0.015056807907219555,0.0041708721645363584,0.016583998689249056,0.025233835290401397,0.021593694688787909,0.014142637334163518,0.033859352073203813,0.021713864737716127,0.0047707554395806312,0.013314623294013919,0.030070317445004716,0,0.026301392750555777,0.015411535864149698
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001219294530922051,0,0,0.0023649600361173263,0.002127033631354375,0.0010828021956096317,0.0012564891777312242,0.0021618330816754829,0.0047539037206538962,0.0010103614593491958,0.0021083613797175165,0.0044448770483571359,0.0028018981533666117,0.0023490313733633018,0.0096568818323439342,0.0051817847121345493,0.0041393183567143476,0.0042861586716344963,0.003470210056039728,0.0075117063204766079,0.003965976566388231,0.0098873192828744048,0.0094338780581877512,0.0064602512852734812,0.0064164716788268784,0.018193085852439474,0.0065981639055807855,0.0095819683848642704,0.02253909909053858,0.0059523756601648622,0.023348227950587552,0.010513701293027389,0.0092033095027775173,0.02578179736426179,0.032293469561689297,0.026427693423240656,0.013915214724560143,0,0.0073714175143917799,0.027743609225662533,0.014892708828059834,0,0.011170316385985483,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00081353724501735019,0,0,0,0.00069120246471046599,0.0016390247240845156,2.4100916490690504e-07,0,0,0.0024926601594670939,0.0010620672374909296,0.001274299174371015,0,0.0015333139738545427,0.0011851199539473405,0,0.006444588619423321,0.003892969229629761,0.0036909009195372766,0.0015603837360318464,0.0013209366502937177,0.0062494334918523509,0.0051585081805624036,0.043465562606623792,0.0069866657862647074,0.0090871270537004681,0.0029852551150561265,0.016319582855562599,0,0.017718300492487505,0.0082432089849595082,0.024874233783677903,0.0068640979395250719,0.0086211659440564425,0.0095321620067270428,0.047544665476456457,0.0052795319378151776,0.017288586264074382,0,0.011286077232162368,0.015000824075761445,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0.00070483814216824381,0,0,0,0,0,0.00034624522431986446,0,0,0.00054030955476195121,0.00051207477913715839,0,0.00065345811475934199,0,0,0,0.00067642507646211434,0.0015655932844204595,0,0,0,0.00057913038269060671,0,0.0021925806184184458,0.00195224221054504,0.00080733477812643529,0.0034108506446688656,0.0015198737338360121,0.0047048341877741302,0.0033594830264612238,0.0057777007914346723,0.0033430690391064804,0.0022116151659713427,0,0.012344384734573957,0.014560548045495936,0.0061069507645965197,0.0093811154297913368,0.0072177991403174768,0.0036692082070984584,0.03074933254000679,0.01492280164035995,0.0055515817836185319,0.0078539139408892039,0.027138480964526941,0.020142947034192463,0,0.0090908224514603831
77,0,0,0,0,0,0,0,0,0,0,0,0,0.0021986023704858248,0,0,0,0,0,0.0028466522932531339,0,0.0038967942464057607,0.012532359177995228,0,0.012007632191360956,0,0.0029077108890994876,0.001350405335794048,0.003077216154865363,0,0.0085870105871177667,0.0023721008321151288,0.0019314757978000231,0.0034118845344079554,0.0048042764205442363,0.0059053566210418434,0.0051638980978339372,0.0058039161699764471,0.0066974251536158699,8.1929972823179727e-05,0.0080632695193292997,0.0040902841139814471,0.0058417744135676594,0.0097097690438481248,0.0088365857555308541,0.033690006097987342,0.018157396542819094,0.016203135850476603,0.031944020014530783,0.024804732004593356,0.099390835454560136,0,0.021153181176955693,0.073032008446615601,0.01612455216991875,0.097579654889077189,0.077647729909980659,0.0528238200783092,0.088716579425307363,0.045534829104233211,0.034107037154642438
78,0,0,0,0,0,0,0,0,3.9005993844533538e-07,0.057473811528180832,0.019691857540728403,0,0.010502265790075571,0.017315343501084178,0.002959823770426276,0.002536338512714014,0.002012340047317518,0.0044118962131865164,0,0,0.00099622247494643998,0.0040997774515328404,0.00098046610439504809,1.3086189596390704e-07,0.00052761029139091018,0.0013711811124888556,0,0.00098695187545518558,0.00047664760173948297,0.0025484884760315278,0,0.0015214242312870828,0.00046028908700882697,0,0,0.0014870267546359956,0,0.00088488826657443171,0,0,0,0,0,0,0.0014529969163188442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0.27420278776005791,0.1423687120722012,0.068316721842578129,0.048617447027457197,0.024935845537295439,0.020701389292977237,0.021396320811126759,0.010281821676694997,0.0073159989302458419,0.0090917767369275548,0.007261152969875396,0.0092757325099691867,0.0034658753774940874,0.004620915277431816,0.0023792958570210952,0.0020559930574122354,0.0020855305180714333,0.0015203064109790092,0.0010585894706919233,0.0012053982397071011,0.0011860883264982445,0.00095920877089960774,0.00083643730851870775,0.00061970301518488502,0.00063035073836980725,0.00066418490015367866,0.00052067545363158299,0.00029314930650170757,0.00033451400337939757,0.00028643993782001201,0.00021143398611437589,0.00048832749139037369,0.00062829422447489467,0.00016592014892120459,0,0.00027797428350189753,0.00012169133690921308,4.2180687244330928e-05,9.983157618509928e-05,0.00062215334304651,0.00025127183977028902,0,0,0,0,0,0,0,0,0,0,0,0.00026888375058002249,0.00044484510208052814,0.0002453541626832024
80,0,0,0,0,2.6284547048055806,2.0107995280348829,1.245803840685263,0.80770437075206647,0.47707626395472241,0.4046863007644399,0.25615007723631628,0.21027128428631189,0.14241040077536077,0.11752327177780904,0.091714702519177224,0.073527958743510341,0.066438703372207156,0.052906715763393647,0.045677577116279469,0.042181312098261377,0.033470780799823407,0.030242189856962122,0.020178021310892622,0.022517411837397697,0.015931979041494421,0.014529494057221917,0.010448656518016321,0.012149940165116013,0.010686165864029859,0.008613619408449515,0.0054361593205773254,0.0040872996781585761,0.005446534247277415,0.0039526265391026478,0.0034484212751124789,0.0022026963214717339,0.0024708475456096148,0.0022025550874569299,0.0016227124978250597,0.0024619911700878398,0.00087308768897791935,0.0017028608644610709,0.0014215591264063869,0.0008623859988328835,0.0027467509105938179,0.00056495047107632784,0.00096243846361696635,0.0012850319038403652,0.00029717404713703444,0.00084361034206304679,0.0003562921374768768,0.00080854876760764517,0.0018626092326162625,0.001217953535322188,0.00074263208323703176,0.00057928559506385238,0.00036074589604085717,0,0.00015077625014158158,0
