channel,released_channel_ordinal,channel_reco_bin,local_numi_reco_bin,published_global_bin,observed_counts,published_background_counts,published_signal_counts,published_total_prediction_counts,empirical_reference_total_counts,empirical_reference_closure_residual_counts
nue_cc_pc,9,14,40,222,38,4.07003,25.6496,29.719629999999999,29.719629999999992,-7.1054273576010019e-15
nue_cc_pc,9,15,41,223,33,5.55403,23.02,28.57403,28.574029999999993,-7.1054273576010019e-15
nue_cc_pc,9,16,42,224,19,6.81595,20.782800000000002,27.598750000000003,27.598749999999988,-1.4210854715202004e-14
nue_cc_pc,9,17,43,225,31,3.8297099999999999,16.526199999999999,20.355909999999998,20.355909999999994,-3.5527136788005009e-15
nue_cc_pc,9,18,44,226,19,3.8644400000000001,13.8162,17.68064,17.680640000000004,3.5527136788005009e-15
nue_cc_pc,9,19,45,227,17,2.9842399999999998,12.987299999999999,15.971539999999999,15.971540000000001,1.7763568394002505e-15
nue_cc_pc,9,20,46,228,23,3.33094,10.495200000000001,13.826140000000001,13.826139999999999,-1.7763568394002505e-15
nue_cc_pc,9,21,47,229,11,3.8859900000000001,8.0800599999999996,11.966049999999999,11.966049999999999,0
nue_cc_pc,9,22,48,230,20,4.3476299999999997,8.1487200000000009,12.49635,12.49635,0
nue_cc_pc,9,23,49,231,17,3.56542,11.889900000000001,15.45532,15.45532,0
nue_cc_pc,9,24,50,232,14,3.54731,7.0111600000000003,10.55847,10.55847,0
nue_cc_pc,9,25,51,233,88,28.472899999999999,48.321200000000005,76.7941,76.7941,0
numu_cc_fc,10,0,52,234,4,3.7533099999999999,0.55792299999999972,4.3112329999999996,4.3112329999999996,0
numu_cc_fc,10,1,53,235,21,3.2412200000000002,8.2195099999999996,11.46073,11.46073,0
numu_cc_fc,10,2,54,236,1035,107.871,493.53200000000004,601.40300000000002,601.40300000000002,0
numu_cc_fc,10,3,55,237,1798,239.90899999999999,1057.8099999999999,1297.7190000000001,1297.7190000000001,0
numu_cc_fc,10,4,56,238,2248,352.99599999999998,1317.4099999999999,1670.4059999999999,1670.4059999999995,-4.5474735088646412e-13
numu_cc_fc,10,5,57,239,2261,353.16500000000002,1320.28,1673.4449999999999,1673.4450000000004,4.5474735088646412e-13
numu_cc_fc,10,6,58,240,2050,317.483,1190.1300000000001,1507.6130000000001,1507.6130000000001,0
numu_cc_fc,10,7,59,241,1556,274.38400000000001,1035.8900000000001,1310.2740000000001,1310.2740000000006,4.5474735088646412e-13
numu_cc_fc,10,8,60,242,1272,235.59999999999999,830.09199999999998,1065.692,1065.6919999999998,-2.2737367544323206e-13
numu_cc_fc,10,9,61,243,991,218.30500000000001,649.06799999999998,867.37300000000005,867.37300000000005,0
numu_cc_fc,10,10,62,244,757,166.36000000000001,512.57799999999997,678.93799999999999,678.93799999999987,-1.1368683772161603e-13
numu_cc_fc,10,11,63,245,631,145.92500000000001,413.459,559.38400000000001,559.3839999999999,-1.1368683772161603e-13
numu_cc_fc,10,12,64,246,444,116.792,314.524,431.31600000000003,431.31600000000003,0
numu_cc_fc,10,13,65,247,376,107.55500000000001,245.29400000000004,352.84900000000005,352.84900000000016,1.1368683772161603e-13
numu_cc_fc,10,14,66,248,272,85.681799999999996,181.06700000000001,266.74880000000002,266.74880000000002,0
numu_cc_fc,10,15,67,249,189,70.437100000000001,126.55800000000001,196.99510000000001,196.99510000000001,0
numu_cc_fc,10,16,68,250,159,61.255899999999997,94.569099999999992,155.82499999999999,155.82499999999999,0
numu_cc_fc,10,17,69,251,110,48.356699999999996,59.046100000000003,107.4028,107.40280000000001,1.4210854715202004e-14
numu_cc_fc,10,18,70,252,64,43.138199999999998,47.403300000000002,90.541499999999999,90.541500000000013,1.4210854715202004e-14
numu_cc_fc,10,19,71,253,41,29.113499999999998,37.39309999999999,66.506599999999992,66.506599999999992,0
numu_cc_fc,10,20,72,254,51,21.211300000000001,28.355200000000004,49.566500000000005,49.566500000000012,7.1054273576010019e-15
numu_cc_fc,10,21,73,255,46,21.0579,16.413299999999996,37.471199999999996,37.471199999999996,0
numu_cc_fc,10,22,74,256,37,20.561900000000001,13.5471,34.109000000000002,34.109000000000002,0
numu_cc_fc,10,23,75,257,33,14.7845,10.714,25.4985,25.4985,0
numu_cc_fc,10,24,76,258,25,12.742100000000001,7.2897700000000007,20.031870000000001,20.031870000000001,0
numu_cc_fc,10,25,77,259,146,90.773300000000006,30.281599999999997,121.0549,121.0549,0
numu_cc_pc,11,0,78,260,21,10.8347,5.3644400000000001,16.19914,16.19914,0
numu_cc_pc,11,1,79,261,158,37.512999999999998,64.0274,101.54040000000001,101.54040000000001,0
numu_cc_pc,11,2,80,262,1868,278.50900000000001,930.08500000000004,1208.5940000000001,1208.5940000000001,0
numu_cc_pc,11,3,81,263,3803,528.005,2095.27,2623.2750000000001,2623.2750000000005,4.5474735088646412e-13
numu_cc_pc,11,4,82,264,5076,739.99599999999998,2934.4000000000001,3674.3960000000002,3674.396000000002,1.8189894035458565e-12
numu_cc_pc,11,5,83,265,5518,882.077,3343.0100000000002,4225.0870000000004,4225.0869999999986,-1.8189894035458565e-12
numu_cc_pc,11,6,84,266,5359,907.96199999999999,3261.1200000000003,4169.0820000000003,4169.0820000000003,0
numu_cc_pc,11,7,85,267,4748,888.14099999999996,3050.8099999999999,3938.951,3938.9510000000018,1.8189894035458565e-12
numu_cc_pc,11,8,86,268,4172,785.50400000000002,2696.25,3481.7539999999999,3481.7539999999999,0
numu_cc_pc,11,9,87,269,3494,692.49300000000005,2282.6599999999999,2975.1529999999998,2975.1530000000002,4.5474735088646412e-13
numu_cc_pc,11,10,88,270,2892,587.39200000000005,1886.3199999999999,2473.712,2473.7120000000004,4.5474735088646412e-13
numu_cc_pc,11,11,89,271,2302,497.53300000000002,1481.29,1978.8229999999999,1978.8229999999999,0
numu_cc_pc,11,12,90,272,1817,393.678,1168.8099999999999,1562.4879999999998,1562.4880000000003,4.5474735088646412e-13
numu_cc_pc,11,13,91,273,1352,342.40600000000001,898.66600000000017,1241.0720000000001,1241.0720000000003,2.2737367544323206e-13
numu_cc_pc,11,14,92,274,1112,300.29300000000001,725.274,1025.567,1025.567,0
numu_cc_pc,11,15,93,275,860,244.709,536.68799999999987,781.39699999999993,781.39699999999993,0
numu_cc_pc,11,16,94,276,662,213.56899999999999,401.86800000000005,615.43700000000001,615.43700000000013,1.1368683772161603e-13
numu_cc_pc,11,17,95,277,507,189.39099999999999,316.10500000000002,505.49599999999998,505.49599999999998,0
numu_cc_pc,11,18,96,278,403,143.41,228.18899999999999,371.59899999999999,371.59899999999993,-5.6843418860808015e-14
numu_cc_pc,11,19,97,279,322,121.63,200.02499999999998,321.65499999999997,321.65499999999997,0
numu_cc_pc,11,20,98,280,294,111.392,147.029,258.42099999999999,258.42100000000005,5.6843418860808015e-14
numu_cc_pc,11,21,99,281,231,104.788,108.379,213.167,213.16700000000003,2.8421709430404007e-14
numu_cc_pc,11,22,100,282,214,94.153800000000004,88.766999999999982,182.92079999999999,182.92079999999999,0
numu_cc_pc,11,23,101,283,145,83.301100000000005,74.872399999999985,158.17349999999999,158.17349999999999,0
numu_cc_pc,11,24,102,284,150,60.770699999999998,63.337899999999998,124.1086,124.1086,0
numu_cc_pc,11,25,103,285,839,495.255,247.09199999999998,742.34699999999998,742.34699999999998,0
