local_numi_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
90,0,0,0,0,0,0,0.00066744693587245476,0,0,0.13927813828711977,0.13564540470035033,0.16617902914548335,0.1547274946160101,0.13904625653059355,0.15730592989546302,0.21709486439658257,0.2673922786038041,0.25047510310196114,0.27876112199571307,0.42749299359243781,0.63310337954581353,0.65343648534004239,0.78105711224348207,1.0031509989347593,1.0391513340737704,1.3385669537963532,1.2041835603337028,1.4065142181901582,1.0101756442931296,1.0902548909600194,1.0775751638442108,1.1115282734763414,0.9356120499842312,0.95274882094521129,0.67941288240494835,0.75133068771358558,0.574863010502773,0.62240062679419406,0.52358928849386233,0.62181570154671617,0.36735062768975696,0.33166155394249347,0.44286536342663008,0.3901200740145726,0.36897794740756268,0.35728910079816772,0.42538812829578571,0.44191306154092974,0.34417199794340531,0.28873442490999573,0.11586756967733873,0.091590956337643262,0.16105667340936747,0.1450912648417155,0.18212371293529786,0.11471833539250996,0.17053142635345409,0.17560501010788235,0.21561428042531042,0.074510428814768645
91,0,0,0,0,0,0,0,0,0,0.039871629963614888,0.038586278621604395,0.059744465300825306,0.078061729514638106,0.095753011703556032,0.13226897790441855,0.17087558440061076,0.1274765917786834,0.19207418097327947,0.16408998987276519,0.24784808436207342,0.20575878111952237,0.43637978690246143,0.32364813054041136,0.50782097676396132,0.58952129867263658,0.68540835030348768,0.84870419946270237,0.92182367702393964,0.72230625342409338,0.73242717286502013,0.67503275964654819,0.79127201250408796,0.67515698397114154,0.74835779395903756,0.68927547355840502,0.85991027790580732,0.48032906611501192,0.58373748551162097,0.61666380755369543,0.47087031010786812,0.28220069642447049,0.31511809947911312,0.36428051806541784,0.31973624519954935,0.34605766541592947,0.32605108317197179,0.26417511478528222,0.19662702986336986,0.39789297801879825,0.34354123404645459,0.18184747214789054,0.17653947985629945,0.15165685058501438,0.18473405972778864,0.20989387840135612,0.14912825509511377,0.14958529822192523,0.17168169004807679,0.18455270620854061,0.15227546656370888
92,0,0,0,0,0,0,0,0,0,0.045616443886588448,0,0.092780276746636983,0,0.078674746045678756,0.055161040387600523,0.078826647490924703,0.13510720261717152,0.20592101365971793,0.15664548898534736,0.17302671928334007,0.12972879248058586,0.17428271503973933,0.2219564563760148,0.29455764509510834,0.31369167810110948,0.38167702714874724,0.501467782558221,0.53783740764303523,0.51691879073795888,0.7131257084828766,0.5187690784418485,0.56652187083840533,0.50146433505736354,0.58752040822344309,0.49732668032342969,0.52297505013641066,0.49251706782283733,0.50994757808423996,0.4334256389720027,0.52801822436168666,0.24014805734929956,0.30330070990536817,0.3040098195932488,0.28410155012278393,0.24569509705695905,0.3482258062492618,0.36872452464849431,0.39466648906140139,0.28505489180384475,0.5024978663183951,0.14153502099061738,0.12875457709363144,0.16103149031396971,0.14028402096441381,0.16542149070366016,0.12963219427604464,0.17966791470695334,0.16666701446960416,0.091327003584660157,0.13197478993261147
93,0,0,0,0,0,0,0,0,0,0.063165593092545574,0,0.033008292087705976,0.019806264833339467,0.044802351173320078,0.045293161079026846,0.05917288604648839,0.081148394969499688,0.066046353464148014,0.097736256299718507,0.085659458204684999,0.070483962048252802,0.13869164944564943,0.098362035835168629,0.15972118693503998,0.13222174166973016,0.19827467878122013,0.30220514181007813,0.20490656706107524,0.29960553741753004,0.43895282668461016,0.38083191143758721,0.46676093766816196,0.41181411525526013,0.41832163741764844,0.40703572227099544,0.31009810859433173,0.29767676892591727,0.340126182740279,0.36598031679448578,0.35988435854863948,0.23330121843826618,0.25583747738947682,0.22185293076128074,0.29415634299548743,0.26481944131538071,0.26001952287319574,0.31994983316790521,0.27132507868932787,0.27861820644573132,0.22078857566056001,0.14214568834760727,0.15403725798791371,0.14684257122810893,0.1290539052722528,0.1950345192476956,0.13188696776251041,0.12278380513044497,0.142710395524174,0.15032406670601764,0.22510535362290798
94,0,0,0,0,0,0,0,0,0,0,0,0.037961578892339178,0.020768065492320156,0.032351320756609271,0.04273641543689162,0.11066999371911447,0.04091480931081927,0.037125043515878385,0.043725972860440804,0.070217225468534594,0.099487723222121863,0.13558540855409662,0.072748020023489207,0.1287551048657527,0.093294824982985414,0.13407544775758534,0.12322686820193847,0.1828036360332437,0.10870913416199807,0.1491198351551648,0.19201549900289877,0.18931065351699025,0.2363561987792277,0.24262918292084606,0.28901870389366785,0.27168281605108402,0.28494871692626339,0.2121207811591439,0.24424271585109047,0.24717052619173593,0.2058971023319433,0.21103690535103664,0.23020082359780389,0.23054560930822396,0.24371121953375721,0.17698457001755624,0.23055017527004687,0.20319009722630982,0.3402410102703522,0.28276399729590479,0.18841688340507395,0.17375464412813107,0.10025349854457546,0.12802989542632029,0.11205325556776183,0.18080380146404942,0.15631577234330549,0.12236016053507413,0.099538837809309624,0.16248325732388394
95,0,0,0,0,0,0,0,0,0.7409990627314208,0,0,0,0.018091163045436891,0,0.019724967231358369,0.020770126306102005,0.01464351721443893,0.048963634077223046,0.040371623505273499,0.040058693930825673,0.036814904379933865,0.032179392017127835,0.052447002337730454,0.040162200784930005,0.063132797593235077,0.0778490926222066,0.071634796789481203,0.086388995694143642,0.090186321776451001,0.10420862573675042,0.11420181218805939,0.16894448405010393,0.12707771554071134,0.13360003606112206,0.16239966326069613,0.22576295539848615,0.1487595162486324,0.20363173100986487,0.13905415804008944,0.19120672759642157,0.14758681351884678,0.088619696466747791,0.12349389317534701,0.14667036660443417,0.15803520007441638,0.17415586529365285,0.23835455416442144,0.17291061726289772,0.17320972092491618,0.24147218585202981,0.078963091064973193,0.073490285701075853,0.09339469439969586,0.1382989945364492,0.091026845432610068,0.11579407032869039,0.12596650746783164,0.10691462514481209,0.07912196835469916,0.11714939313952573
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013094885615202851,0.04039625687042233,0.073129672527110154,0.01316005841285957,0.035045436666213549,0.044462103507286507,0.041110646993271667,0.026351265935872784,0.074639731504565279,0.044834274066177821,0.04414445030024524,0.042505375664153744,0.060097449754044796,0.081333532318295806,0.047442268820308726,0.057841834950147678,0.046772361912708775,0.058959571889799084,0.062661622241205098,0.08704143918520274,0.11796699116557928,0.098966627822767814,0.11425164842768917,0.15918360778085641,0.18133825066144821,0.18737219883702896,0.12503939416975393,0.07028699606434427,0.10352499548777661,0.056304985612528252,0.17685220764212065,0.13110169654278886,0.10921698801155694,0.19893310956705051,0.21776847763551493,0.1070108096240058,0.20524243522722022,0.078253957993115464,0.11562465156604404,0.092061681500580417,0.074475178207110027,0.089245102950179067,0.11225606301282444,0.11581821891648522,0.083613681920985367,0.16005753224068861,0.1182474303116319
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010325098982667339,0.045194227986734559,0.013301166376991762,0.0065889943948456891,0.017075418548474643,0.035971760100042237,0.060288150949066824,0.040704237998780056,0.023118537718305628,0.01531902950570291,0.083545036051458452,0.041569565557129623,0.047209161094351991,0.025838083014461413,0.047849873169406081,0.051935763512752239,0.047165224918910655,0.064384559911893943,0.061087816519171501,0.088373516825038662,0.14510440709469855,0.085046794489588212,0.073899563398514376,0.10541431732635524,0.064482466120375295,0.09912839183955402,0.096620376617779044,0.090982118297040962,0.19799858121558961,0.13793622850771325,0.079707481816784082,0.080422248816104158,0.12866162018026051,0.14274208754109047,0.18380497306019808,0.089040560615767317,0.10993110488528098,0.17600916902372502,0.088684562172451922,0.10505775818774454,0.080661510481779664,0.085790100575230344,0.10977583242853525,0.15428545496631263,0.24662182272094374
98,0,0,0,0,0,0,0,0,0,0,0.027184291964728616,0,0,0,0,0,0,0.010081779170385273,0.034862245512005459,0.0038037117375876429,0.023634113606529221,0.010304683558523545,0.063160387203666027,0.025413608012049671,0.0083346896984284741,0.034975705341246555,0.022581479804365041,0.038275784224626609,0.021486376835472287,0.026827626141635055,0.058920713133773048,0.025728699876777599,0.029154854612556839,0.037540075047650827,0.046636171305794692,0.066855809208572758,0.07362711808154776,0.054577658239757486,0.074417205287353239,0.088680077750111622,0.088639714489356827,0.07342633217242546,0.10208963841475159,0.084614505775844881,0.067699899007808415,0.073444176068499942,0.19143395680491784,0.050547246957867491,0.077293537392229703,0.13968707681626086,0.052589044540868844,0.072690889011198634,0.077899631263509697,0.10481468592927423,0.074207527134404705,0.078827463279334972,0.1129176269309367,0.065622804406862537,0.16211667406409361,0.10811084962106975
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015169649195286636,0,0.0091259457443047757,0.0044819779728950465,0,0,0.0095747316383481881,0.021455893064032953,0.02405796817851167,0.011280265027043736,0.019639199888710407,0.012164122720040253,0.031970990171360979,0.023122724545892561,0.036254274599388119,0.053584308929932399,0.044759343712637088,0.021391552788516861,0.032822548457157603,0.026156180606237377,0.028440260821563167,0.010386528692797837,0.10596189219952998,0.053270921007266138,0.04197582512848623,0.03027456783283668,0.029523556521704179,0.034524925288529462,0.043520262529468286,0.066293757279596827,0.08803068305512185,0.049427464701166907,0.091551959478578568,0.12366142783492337,0.088866807174446477,0.056435091429384944,0.037167629378910563,0.067023101097126794,0.077438611395650392,0.089383120630508212,0.067730949391473422,0.086473583080682814,0.057919852196013866,0.075975749967085976,0.12107559323870255
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03354523476588378,0.0064196677957786179,0.030428245834352149,0,0.023841082526635259,0.011886945912537247,0.0033564996601204416,0.015977372279467696,0.021082916527105186,0.012178657914672019,0.013375924373850019,0.013117490242562303,0.021095110646842444,0.0038958314162824432,0.030480541794568456,0.019346244667909247,0.05124111847255762,0.013589763240149997,0.03257839210662971,0.047984152288054596,0.043096543812504585,0.036592437208185766,0.025245125434305706,0.038611246552827126,0.050613874214725553,0.070522613008284427,0.03691696232440015,0.14584654470880529,2.0599239860533664e-05,0.029465601647018849,0.069636538305236736,0.027166824883378057,0.077823860867441891,0.027313878590863039,0.088241005345150877,0.04023481380164709,0.13932198597286366,0.06810321247135051,0.062868515935621108,0.073096790787244056,0.1035986015228071
