flavour,energy_low_GeV,energy_high_GeV,energy_center_GeV,baseline_low_km,baseline_high_km,baseline_center_km,psi_per_POT_per_cm2_per_100MeV_per_km
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.54000000000000004,0.55000000000000004,0.54500000000000004,1.1544299031419514e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.55000000000000004,0.56000000000000005,0.55500000000000005,4.8922993391285547e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.56000000000000005,0.57000000000000006,0.56500000000000006,4.6912648979146384e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.57000000000000006,0.58000000000000007,0.57500000000000007,4.4752009609258357e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.58000000000000007,0.59000000000000008,0.58500000000000008,1.2981919339878858e-11
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.59000000000000008,0.60000000000000009,0.59500000000000008,1.6043487011722379e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.60000000000000009,0.6100000000000001,0.60500000000000009,5.4692109514714251e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.6100000000000001,0.62000000000000011,0.6150000000000001,1.5239717605447775e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.62000000000000011,0.63,0.625,3.777203240118897e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.63,0.64000000000000001,0.63500000000000001,4.0772835652925502e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.64000000000000001,0.65000000000000002,0.64500000000000002,4.090416498463778e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.65000000000000002,0.66000000000000003,0.65500000000000003,1.4023658390936869e-11
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.66000000000000003,0.67000000000000004,0.66500000000000004,2.1689830470284416e-11
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.67000000000000004,0.68000000000000005,0.67500000000000004,3.8277025405173425e-11
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.68000000000000005,0.69000000000000006,0.68500000000000005,2.6315115862693722e-11
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.69000000000000006,0.70000000000000007,0.69500000000000006,0
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.70000000000000007,0.71000000000000008,0.70500000000000007,0
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.71000000000000008,0.72000000000000008,0.71500000000000008,0
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.72000000000000008,0.73000000000000009,0.72500000000000009,0
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.73000000000000009,0.7400000000000001,0.7350000000000001,0
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.7400000000000001,0.75,0.74500000000000011,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.050000000000000003,0.060000000000000005,0.055000000000000007,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.060000000000000005,0.070000000000000007,0.065000000000000002,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.070000000000000007,0.080000000000000002,0.075000000000000011,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.080000000000000002,0.089999999999999997,0.084999999999999992,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.089999999999999997,0.10000000000000001,0.095000000000000001,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.10000000000000001,0.11,0.10500000000000001,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.11,0.12000000000000001,0.115,2.6650056921213673e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.12000000000000001,0.13,0.125,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.13,0.14000000000000001,0.13500000000000001,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.14000000000000001,0.15000000000000002,0.14500000000000002,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.15000000000000002,0.16,0.15500000000000003,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.16,0.16999999999999998,0.16499999999999998,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.16999999999999998,0.17999999999999999,0.17499999999999999,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.17999999999999999,0.19,0.185,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.19,0.20000000000000001,0.19500000000000001,2.7080127985233585e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.20000000000000001,0.21000000000000002,0.20500000000000002,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.21000000000000002,0.22000000000000003,0.21500000000000002,1.8546883026416631e-13
nue,0.20000000000000001,0.30000000000000004,0.25,0.22000000000000003,0.22999999999999998,0.22500000000000001,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.22999999999999998,0.23999999999999999,0.23499999999999999,3.7949657399154969e-13
nue,0.20000000000000001,0.30000000000000004,0.25,0.23999999999999999,0.25,0.245,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.25,0.26000000000000001,0.255,1.5513081562950669e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.26000000000000001,0.27000000000000002,0.26500000000000001,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.27000000000000002,0.28000000000000003,0.27500000000000002,7.0514514910579919e-13
nue,0.20000000000000001,0.30000000000000004,0.25,0.28000000000000003,0.28999999999999998,0.28500000000000003,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.28999999999999998,0.29999999999999999,0.29499999999999998,1.1175478820551692e-13
