#: table_doi: 10.17182/hepdata.166435.v1/t2
#: name: Contrained $\nu_e$ channels
#: description: Four $\nu_e$CC observation channels, after constraints from 10 $\nu_\mu$CC and NC $\pi^0$ channels. The four channels in order are BNB $\nu_e$CC FC, BNB $\nu_e$CC PC, NuMI $\nu_e$CC FC, and NuMI $\nu_e$CC PC. Each channel contains 25 bins from 0 to 2500 MeV of reconstructed neutrino energy, with an additional overflow bin.
#: data_file: constrained_nue_channels.yaml
#: keyword reactions: NUE CC
#: keyword phrases: Neutrino LArTPC Interactions
Bin index,Bin index LOW,Bin index HIGH,Data [counts per bin],stat +,stat -
89.5,89,90,50.0,6.9985,-7.202500000000001
90.5,90,91,35.0,5.848300000000002,-6.0548
91.5,91,92,33.0,5.677599999999998,-5.884699999999999
92.5,92,93,38.0,6.095500000000001,-6.301300000000001
93.5,93,94,33.0,5.677599999999998,-5.884699999999999
94.5,94,95,19.0,4.301100000000002,-4.5151
95.5,95,96,31.0,5.5017,-5.709399999999999
96.5,96,97,19.0,4.301100000000002,-4.5151
97.5,97,98,17.0,4.0672999999999995,-4.2835
98.5,98,99,23.0,4.7346,-4.945699999999999
99.5,99,100,11.0,3.2699999999999996,-3.4974999999999996
100.5,100,101,20.0,4.4133,-4.6266
101.5,101,102,17.0,4.0672999999999995,-4.2835
102.5,102,103,14.0,3.6898000000000017,-3.9101999999999997
103.5,103,104,88.0,9.302099999999996,-9.503600000000006

Bin index,Bin index LOW,Bin index HIGH,Constrained Background [counts per bin]
0.5,0,1,0.0
1.5,1,2,1.39435
2.5,2,3,2.33005
3.5,3,4,6.57047
4.5,4,5,3.69715
5.5,5,6,5.80761
6.5,6,7,4.87166
7.5,7,8,4.83953
8.5,8,9,3.51037
9.5,9,10,2.25783
10.5,10,11,3.13599
11.5,11,12,0.717985
12.5,12,13,1.61646
13.5,13,14,1.90789
14.5,14,15,1.7484
15.5,15,16,1.28476
16.5,16,17,1.54281
17.5,17,18,0.891118
18.5,18,19,0.701893
19.5,19,20,0.801068
20.5,20,21,0.477587
21.5,21,22,0.775612
22.5,22,23,0.732195
23.5,23,24,1.02288
24.5,24,25,0.274937
25.5,25,26,10.6512
26.5,26,27,0.0
27.5,27,28,0.332046
28.5,28,29,3.12432
29.5,29,30,0.944514
30.5,30,31,0.979288
31.5,31,32,1.90457
32.5,32,33,2.3208
33.5,33,34,4.14416
34.5,34,35,2.28826
35.5,35,36,1.93685
36.5,36,37,2.44576
37.5,37,38,2.8203
38.5,38,39,1.9267
39.5,39,40,1.25135
40.5,40,41,1.17939
41.5,41,42,1.57722
42.5,42,43,1.63349
43.5,43,44,2.37676
44.5,44,45,0.721856
45.5,45,46,1.46087
46.5,46,47,0.925077
47.5,47,48,1.85772
48.5,48,49,0.919288
49.5,49,50,0.404157
50.5,50,51,1.24059
51.5,51,52,12.532
52.5,52,53,0.0
53.5,53,54,1.05422
54.5,54,55,3.24238
55.5,55,56,2.4043
56.5,56,57,2.46266
57.5,57,58,4.3384
58.5,58,59,1.40452
59.5,59,60,2.26794
60.5,60,61,3.10448
61.5,61,62,1.41612
62.5,62,63,2.96591
63.5,63,64,3.36425
64.5,64,65,4.81349
65.5,65,66,4.18646
66.5,66,67,4.14202
67.5,67,68,5.17274
68.5,68,69,3.5525
69.5,69,70,4.52575
70.5,70,71,4.30962
71.5,71,72,2.24487
72.5,72,73,4.20845
73.5,73,74,2.73886
74.5,74,75,3.141
75.5,75,76,2.35062
76.5,76,77,5.87719
77.5,77,78,41.74
78.5,78,79,0.0
79.5,79,80,0.312699
80.5,80,81,0.928817
81.5,81,82,1.48689
82.5,82,83,2.22977
83.5,83,84,4.1056
84.5,84,85,3.62084
85.5,85,86,3.52458
86.5,86,87,5.58726
87.5,87,88,4.65961
88.5,88,89,3.90283
89.5,89,90,8.45117
90.5,90,91,6.724
91.5,91,92,5.13786
92.5,92,93,4.52542
93.5,93,94,5.05783
94.5,94,95,8.96524
