global_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10421393900193185,0.27997536525899475,0.35965429875060645,0.44180210732890235,0.43354609695048091,0.6130784492535728,0.6204310097793363,1.1811709037103626,0.58714533311069517,0.15075554525831272,0.83216186855069152,0.42326978200670373,0.67580790880575581,0.18783605417620225,0.86598900148271696,1.2823744020731043,2.4403630340474178,2.169904000991576,1.0530119564191482,1.9277279696099157,2.1235197455033066,1.0812150017619671,3.0405735876501394,1.2644866211090879,1.7652331466737892,0.79655402912133888,1.4486603946333787,0.9959364661252198,1.6039121929460378,0.63660234086774303,1.462452880282517,0.75632844877844196,0.48990909595991777,0.77273061219104311,0.88318570335693358,0,0.47664028932825875,0.26601345803109577,1.019698209470788,0.25834263044651629,0.59083137488296489,0.26073165742934912,0.69914695447098008
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067327870368103004,0,0.37716401870537603,0.12519954744854622,0.19168068754025544,0,0.43644963620586658,0.083317553873065747,0.19162481894558298,0.075057088559391402,0.19605413005287117,0.1283466270290641,0.32158366650563941,0.46905036277764195,0.24200491132206917,0.13041280346171721,0.52824480328666845,0.90500088785160149,1.2970078367527242,0.27347964015605419,0.39699514870525565,0.13389903532368796,0.68258557986170143,0.39612892115597725,2.2168750611753683,0.37827364091718113,0.91440628787766209,0.77968635820937193,1.1060084372307331,0.85149466489536152,0.38493944720351675,0.44192732040491189,0.10888501816855929,0.38964850386592448,0.53961518370749539,0.77190101465962291,0.46572565984041286,1.052061289249796,0.62630019283517058,0.1301047091427571,0.34945646088247556,0.74606661088192372,0,0.59862651108773179,0.3372874757597874
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14988669453089054,0,0,0.31137439367543723,0.26452322644041765,0.14635395775619897,0.15777874112083973,0.30192967692628303,0.60811909718095447,0.14201139246657357,0.26553925239898785,0.61718378432241017,0.34209348379349946,0.26801917609548048,0.95255624902051717,0.62673692901465472,0.42688907615034105,0.42496101860334823,0.28965746313301638,0.6980747551649874,0.30873951943905154,0.75063097720930816,0.59906288954153653,0.40310101250236741,0.33625110981765127,1.1157896487728396,0.34394052432210104,0.42458559253566619,0.85586692301899603,0.19595084514725983,0.66871436793630035,0.26460802499919828,0.20602252819538422,0.51942922983552298,0.59216814453801203,0.81007149683949664,0.39293354856786777,0,0.18231645323691806,0.64878120021896202,0.33517168702876299,0,0.22599491302249003,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14065878450006294,0,0,0,0.12677080646645592,0.27533035591308708,4.4484662847453794e-05,0,0,0.39965556098847105,0.15913268616864978,0.16506517102061519,0,0.20765750751284656,0.15430268794769278,0,0.78648213776088705,0.39797279230543597,0.36796849998269626,0.13011995512098648,0.1082372623676425,0.43006928451629006,0.41546114524937267,2.9753351012577669,0.4065470551631723,0.45313396984711657,0.12905314453428679,0.61379891234349715,0,0.52086248531730495,0.2180920505691146,0.59897731738020277,0.27629809716118475,0.31968741055629935,0.33351362427512943,1.5442122046528186,0.16212912941218474,0.51095592454999028,0,0.29985171593294374,0.38446081734483606,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0.089580445826209734,0,0,0,0,0,0.050452029883058885,0,0,0.075087586562423286,0.079150341679661562,0,0.10164825641218253,0,0,0,0.085414679129932294,0.17091037488983812,0,0,0,0.053498434328296367,0,0.18890063358136913,0.16402777231249904,0.0567376813257316,0.23553906373437103,0.088147645846487613,0.31934200310893129,0.19380655605940134,0.28333572090938625,0.14049174238940179,0.080575337251848858,0,0.34383698486382352,0.36073158528333038,0.1361674726328341,0.19037967320251434,0.24485255894299504,0.11466670103788151,0.90669932145837273,0.40847076929894061,0.14367718280960398,0.19562102433333647,0.63898450395201256,0.45101601555516774,0,0.18880899021387562
77,0,0,0,0,0,0,0,0,0,0,0,0,0.31103502425624996,0,0,0,0,0,0.46170869945413517,0,0.64883962516198135,1.9386397505394923,0,1.8922136999823018,0,0.45113803601154223,0.23099014203577894,0.46283373514428877,0,1.0434466702468916,0.35343830159674494,0.2453861397305053,0.41672515909394164,0.49400516743863659,0.67605808009495671,0.49521556838123554,0.54280470214430265,0.52391951262599412,0.0062976980564038824,0.52053887261721987,0.30903237564488428,0.3751280826949458,0.53002208395257444,0.41336026960533578,1.3662571389828384,0.64064118379502633,0.50236687628371901,0.88091661244639252,0.6156335499467086,2.2451802877313702,0,0.73583329186215096,2.3970639689530384,0.49128902329140733,2.8110535683247995,2.1527665463333658,1.3844375761170313,2.211121074936452,1.0947750537255259,0.78850103936933058
78,0,0,0,0,0,0,0,0,2.3491540604374189e-05,3.5895271333310363,1.3397860276974094,0,0.76508850448397803,1.2492218555752279,0.23702261410370648,0.19778906895760581,0.16916252250058603,0.35552640448326572,0,0,0.085418569166983802,0.32658078630361592,0.08686740375413618,1.0619206886863335e-05,0.047043571554272884,0.10955169761101012,0,0.076441472970450522,0.034499680757922237,0.15946926808517456,0,0.09953530567924207,0.028950238226311282,0,0,0.073434725535998099,0,0.035646033319363085,0,0,0,0,0,0,0.030343251373593845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,55.173808492196436,36.080470402176232,18.194290722138,13.92304136165089,7.405478959790412,6.6974590013744262,6.9617746370730176,3.5617263657703466,2.5098276981925975,3.4620593169598957,2.6925418871521511,3.7077702104306036,1.3280711065547188,1.8352258605996217,0.89256597770090651,0.8382612934397552,0.7899665633273828,0.64049714255367385,0.4084776095687066,0.51106882858415525,0.45061239451938412,0.4017633547770445,0.30805501157289872,0.21328636152671782,0.18755921439026241,0.24232451020959914,0.16197789173607582,0.0876742676439691,0.0842259052496689,0.080297001692596418,0.04965000577621876,0.1118308239119387,0.12035043157652356,0.031229572015631198,0,0.051426030664528916,0.019134729951299237,0.0056380197998641768,0.01143510201167821,0.06178124753608201,0.021708657920069117,0,0,0,0,0,0,0,0,0,0,0,0.016409682285235736,0.026188937238162294,0.013889275307252775
80,0,0,0,0,499.71301539505913,419.63895814815118,327.45620812712502,223.10354572345574,141.70190912446822,124.65034494209844,85.951011254666653,70.958880473478928,51.165605815996948,41.815767869002869,36.221850366065127,28.278431676341789,27.544295636616301,21.02640943552521,18.815272046920352,16.411863391577448,14.153685499701785,11.880954257578296,8.8167915732700912,9.0116659627701203,7.0059090453450708,5.7250926791999754,4.5390353130204799,4.64103613672152,3.8145851643253561,2.6582005648313727,2.0570575888304101,1.3187760372869177,1.6894659478341709,1.0321981945579066,1.0026099313735153,0.53646953040800827,0.58687043042635967,0.43757982668582462,0.31677756264130713,0.40364752112839702,0.16752598405402805,0.27770760169459441,0.19707149057877987,0.10245183478223273,0.28289445828206616,0.050622717958711046,0.07578246060713284,0.089998018803276097,0.01873149441810764,0.048397238594063474,0.034167931197331046,0.071430513399624973,0.15526084274556884,0.094244047122316016,0.054332208649217291,0.040788215946950722,0.024011471762639489,0,0.0092063594637133046,0
81,0,0,0,0,14.637723810338612,142.1653960593143,400.83676337071569,703.9239338738073,778.54670628576434,624.25150022622711,546.15128581680676,423.7132661408765,359.42913082904005,286.44565635547349,245.01934177798344,211.83276034143367,174.83357846001584,150.57315738115801,127.83945867598561,111.06756358761554,91.45754560105145,80.119092540406541,71.470974810222472,58.819918837513498,47.800329663971894,37.281382860317073,36.055341813094159,27.302703142903592,22.872129434490578,17.443773460933478,13.907853726142491,11.122810689525902,11.064790871272615,7.4780059159427701,7.4386067596367482,4.8192673129708474,4.1137132142814075,5.0068256274949263,2.3630774726276274,1.9348015220206132,1.7740568810866018,1.1813218739396574,0.81105672743215196,0.79733494628774704,1.0293978535942241,1.0059601616632308,0.53441707355793733,0.34166278668642835,0.36841968148060705,0.48178331937165136,0.33401095695022637,0.37251693135243208,0.23522726557812854,0.30041693895986371,0.18093337520603481,0.27229198470382826,0.079944557875520628,0.24588077762661842,0.20924864555763298,0.13419478158799819
82,0,0,0,0,0,0,285.87906567233301,279.78476575744645,567.85451846241824,807.06205266280358,880.22561039618756,817.67641718253242,716.82824798115007,678.23905191940457,562.17476744923874,478.41850241498344,415.15971028520676,385.60124572369341,318.27783776846815,282.37060085364953,232.56679259717691,206.27765587467132,165.02206435441988,154.05324242576373,125.54085633963831,103.43774691507033,88.39968479888384,71.46361304789616,63.736612640260454,51.938010238520654,41.17120114186978,38.0224087266295,25.749819339357053,24.282485711499973,15.417038916006295,13.941176724695962,11.620189959028519,9.7039146032907944,6.1161019816808313,5.8554910214159275,4.8418523145072667,3.4313362934009124,2.7027782185045948,2.7028071020628404,1.6747742533640535,1.6330013090988378,1.6487959222385624,1.4257505802230972,1.4743853158356865,0.74065450654776732,0.55042847669920014,1.0193328829987374,0.94972226970067453,1.3551541117825054,0.62623140888217133,0.57342846668803338,0.37624122845143443,0.78188347913531131,0.45286838481538044,0.41736259530740522
83,0,0,0,0,0,0,0.0195512737361315,104.775466515015,130.10924148504569,332.47721498677066,589.48143549744009,858.63229405258187,925.20789825751058,866.84762219843469,789.65078241534593,745.2359977397623,636.25116811858061,580.97611987889707,512.95684589260986,442.87358665412228,426.05002128611432,336.20791081784228,304.23144912929359,270.77862345122236,227.81823928105322,199.48550135037777,164.14172071554816,139.32244677549323,112.53929272894122,83.739994164142487,73.242507435027704,63.998954781700967,50.775602660767639,40.377010343610706,32.400478779427438,26.331964338177343,23.830425883686559,15.847401953741954,13.022430857118042,12.414249251261655,8.9620904144608833,7.8074388003831148,7.0396916370738793,5.9265863098395508,3.8332037290909486,3.3541646236119118,2.4482881017000846,3.1752613190625847,1.9087626942696139,1.646680701657508,1.6653984751064648,2.568810562203323,1.6245987346041237,0.53609151087617957,1.4335636496223358,1.4644104257870181,0.94714621182300018,1.9329467199993831,1.1084332059205178,0.44172101144131071
84,0,0,0,0,0,0,0,68.059433643932508,76.992723050257226,91.922687334868286,169.64348571407254,301.77854092898122,594.12416193838897,752.77801312448685,845.43791356514805,821.24978609865298,762.39415440426365,662.87265626617216,640.31356688832534,586.42837769382083,474.63352227795895,439.50387384499572,416.65810972814535,356.93102892117076,296.02719086379631,264.73773970272765,217.74903146196419,195.59745578197689,161.16193130314218,131.73227524653285,112.53577868770364,91.926667359113878,73.946425296474516,63.707793492538144,50.697403198517769,38.45185042780372,31.663052459919115,25.874495613367408,17.479016299510956,13.957244150824653,11.00677793952282,10.437486951777643,10.586253467704022,7.4784147873422304,7.0928766930833911,6.3989619581968533,2.9515034809219247,4.7753522360458405,3.4067293177200182,2.6709685539037462,4.6570331788084518,2.2301651927409614,2.1815317717057354,2.2644781149873658,1.9378140243924658,1.4677816952061498,2.9275248097907269,2.7881390595623969,1.1053203357957375,1.1665695178129265
85,0,0,0,0,0,0,14.705335109270958,0,30.325358073610168,79.201922064412344,83.758544465002359,123.63839682572166,198.54939960897619,310.99411812239344,535.61748626543499,644.17248118438397,665.32077149481722,706.13770998704206,667.05245892259791,626.58579008098684,584.42063993570594,505.4344107097628,449.69591827431344,398.74815184018718,353.41995750629434,312.78963615319378,270.69517444454988,226.5328469412452,207.99397441320866,165.73288726010674,144.98793187830748,104.58475132506298,84.96122961234127,77.797228988446435,61.156491392962614,45.991542778488082,39.401248144435236,33.495461815085648,27.358228990037595,17.763435753170224,19.377486376892016,13.618762885911975,9.9936179812339621,8.6487048407962615,9.7844275374181944,6.3725469776229184,5.268352842479314,4.5580949164336726,4.8526972987027417,3.3406805936982025,2.5709607219436239,2.2116946821213559,2.7381592721994146,1.7212209559424037,2.6249573711210816,2.6277118416585918,1.7341048705577193,1.6074943124785348,1.45211860568129,1.4354609731800949
86,0,0,0,0,0,0,0.040057662098526098,9.7898660484990678,8.8348684850562229,21.634113081209897,38.40420056607018,54.287510640501303,61.611879162002147,123.95367086010629,170.90063872063649,266.24921246129981,465.48556509988583,519.82904681285788,551.98791740473223,527.8757757151883,528.49795757027675,499.72318742891707,469.03954599466658,418.92716656089141,371.61706270550559,333.27822062126569,293.49776214080316,252.92910092984201,220.5541720004102,191.64854081944347,157.91232728536548,128.31267142948576,101.41521950883684,78.612604781333914,73.008567468909575,59.979968919280104,44.982541537534999,36.764325094138023,32.296728265403083,26.818570143659869,21.403295664230566,20.994195207999681,13.499438205050469,9.6063017781801197,10.210533213206469,9.5612960896168833,7.5247279299195879,5.4716829786312626,4.3038804727121542,5.3086627478441315,3.728012011874474,2.77400379416919,4.6265330441120627,3.6422557632811809,2.2246580503478599,3.7791904150699511,2.411939082415091,2.6193562174744498,1.5272387965170171,2.6301598167917959
87,0,0,0,0,0,0,0,32.255353786133078,38.044266471703096,43.168081824174564,16.827775013165027,43.622044604196333,37.784998388452614,68.779963013184997,68.884777089041933,119.60359052238492,180.10965443698984,241.01366329567549,337.42816345808728,382.67070834276808,441.69576662635421,402.70754320590032,410.97654725911298,393.84675217950257,369.88206809424861,320.21271859115109,282.52660990828656,251.69538729362174,196.78050001189692,179.29696456180852,155.71959025831384,134.44574942076812,113.32462779107674,91.968364449524174,72.13264604192635,64.208820138220261,47.601623439241436,37.661829337236156,34.812498483076034,26.910019974982962,24.84655171743654,19.139424089781166,15.899793285199332,11.922490384583444,10.662833991985487,9.7710650453379717,6.8092992711705165,10.066523761011538,5.828294684306524,4.6637156887400479,5.8669222429697241,6.1197754941137035,1.9614447158887029,3.038000517356906,3.5715354234645127,1.5720004900672409,2.2713551756027361,1.9448653146013946,2.6500298054936815,2.8672086236922061
88,0,0,0,0,0,249.82818539757261,0,13.141756729826916,20.920448083672092,8.5483037042928469,20.549062375982682,18.419573376092998,26.406809436185092,23.999909366885081,31.681721668691349,56.457918752068281,77.44020684758371,96.674483592152555,141.57579528581726,197.33525762822697,241.54327693011527,329.37422531224297,299.26393404251775,270.71795943233184,285.92192424126449,248.12788127825308,245.54911039706127,206.63162557825945,186.92798061586714,162.08647953316799,139.2184763703539,123.69400452644642,111.29709041543391,85.526266468368618,74.272354249155484,53.36193639513651,48.682520180377104,37.035608900860879,35.145284891498768,32.309567977941263,21.711400189460715,16.993647077032257,17.922111714570104,12.581973073999798,10.066158768303273,9.3129328806645617,10.322643979361024,6.7255001722806496,8.637197846118509,5.1567187920186415,6.1940288312527816,4.8491902636516064,4.4027835831639424,4.7783665266386013,3.3538123566846862,4.1247703784903686,4.4346391483589196,2.7750055735292598,2.7072674590424142,2.5193859315802376
89,0,0,0,0,0,0,0,0,0,0.00026419448965896229,22.297270349831365,16.736975508653828,9.8479485446526365,19.372114847921043,27.724332609423147,34.025102621105106,32.353662266434533,67.594370227881853,61.632242866228232,100.75702682209059,115.94032965711394,166.03372931579116,194.58328727059578,201.61681366298271,220.01419523698613,209.51027732435912,173.72505030741445,185.43622001512298,165.60515424506025,166.75198172123103,129.65937198244902,115.19435415692348,102.95153804107289,89.19692610736476,65.812656252952436,62.250399769120115,55.661721929350541,41.252331323179455,34.816465011590836,30.466734078243626,27.581108732931916,25.372499452535322,15.603136283071498,16.3194095703061,13.49731327219447,13.335368102512843,7.9004938260143538,9.3313329761995778,8.9905177852796179,8.6291866485715794,4.7993902451309536,5.7610414166377888,5.4039115747122768,4.0326252156737814,3.5555799562807131,5.030007600164879,3.4951134878939865,2.846403194640899,4.7033444912642972,2.6240047833687381
