channel,channel_reco_bin,global_reco_bin,published_data_counts,published_background_counts,published_signal_counts,published_total_prediction_counts,reconstructed_total_prediction_counts,closure_residual_counts
nue_cc_fc,17,17,13,1.11259,12.212199999999999,13.32479,13.324789999999997,-3.5527136788005009e-15
nue_cc_fc,18,18,9,0.82336399999999998,10.3734,11.196764,11.196764000000002,1.7763568394002505e-15
nue_cc_fc,19,19,5,1.1613100000000001,9.0284300000000002,10.18974,10.189739999999995,-5.3290705182007514e-15
nue_cc_fc,20,20,9,1.3015600000000001,7.9743899999999996,9.2759499999999999,9.2759500000000017,1.7763568394002505e-15
nue_cc_fc,21,21,10,0.75478800000000001,7.24376,7.9985479999999995,7.9985479999999995,0
nue_cc_fc,22,22,4,0.87293600000000005,6.1307400000000003,7.0036760000000005,7.0036760000000022,1.7763568394002505e-15
nue_cc_fc,23,23,7,1.117,5.5591200000000001,6.6761200000000001,6.6761200000000001,0
nue_cc_fc,24,24,8,0.27839599999999998,4.8236299999999996,5.1020259999999995,5.1020259999999986,-8.8817841970012523e-16
nue_cc_fc,25,25,30,6.0433399999999997,27.215899999999998,33.259239999999998,33.259239999999998,0
nue_cc_pc,0,26,0,1.0202299999999999e-09,0.0023493099999999999,0.0023493110202299997,0.0023493110202299997,0
nue_cc_pc,1,27,2,0.34133000000000002,0.46990799999999999,0.81123800000000001,0.81123800000000013,1.1102230246251565e-16
nue_cc_pc,2,28,8,2.54956,1.8068599999999999,4.35642,4.3564200000000008,8.8817841970012523e-16
nue_cc_pc,3,29,5,0.921956,3.6776200000000001,4.5995759999999999,4.5995759999999999,0
nue_cc_pc,4,30,8,0.77121700000000004,6.4036600000000004,7.1748770000000004,7.1748770000000004,0
nue_cc_pc,5,31,14,1.80393,8.1632700000000007,9.9672000000000001,9.9671999999999983,-1.7763568394002505e-15
nue_cc_pc,6,32,6,2.37853,9.6371599999999997,12.015689999999999,12.015690000000001,1.7763568394002505e-15
nue_cc_pc,7,33,19,3.9171200000000002,10.906700000000001,14.823820000000001,14.82382,-1.7763568394002505e-15
nue_cc_pc,8,34,23,1.82491,12.052700000000002,13.877610000000001,13.877609999999999,-1.7763568394002505e-15
nue_cc_pc,9,35,14,2.2949000000000002,12.0036,14.298500000000001,14.298499999999994,-7.1054273576010019e-15
nue_cc_pc,10,36,20,2.5405500000000001,11.0868,13.62735,13.627349999999995,-5.3290705182007514e-15
nue_cc_pc,11,37,12,2.9654799999999999,11.513999999999999,14.479479999999999,14.479479999999999,0
nue_cc_pc,12,38,14,2.14866,10.6061,12.754759999999999,12.754759999999997,-1.7763568394002505e-15
nue_cc_pc,13,39,11,1.85945,9.9133899999999997,11.77284,11.772840000000006,5.3290705182007514e-15
nue_cc_pc,14,40,10,1.5962499999999999,9.3081200000000006,10.90437,10.904370000000004,3.5527136788005009e-15
nue_cc_pc,15,41,14,2.5618400000000001,8.4374300000000009,10.999270000000001,10.999270000000001,0
nue_cc_pc,16,42,8,2.0375299999999998,7.6250400000000003,9.6625700000000005,9.6625700000000005,0
nue_cc_pc,17,43,6,2.5152700000000001,7.3802899999999996,9.8955599999999997,9.8955599999999997,0
nue_cc_pc,18,44,5,1.6519699999999999,6.8460199999999993,8.4979899999999997,8.4979899999999979,-1.7763568394002505e-15
nue_cc_pc,19,45,6,1.59812,5.8414200000000003,7.43954,7.43954,0
nue_cc_pc,20,46,2,1.0742,5.81839,6.8925900000000002,6.8925900000000002,0
nue_cc_pc,21,47,7,2.3232599999999999,4.9632300000000011,7.2864900000000006,7.2864900000000006,0
nue_cc_pc,22,48,0,1.3017300000000001,4.2631399999999999,5.56487,5.5648699999999991,-8.8817841970012523e-16
nue_cc_pc,23,49,3,0.91732499999999995,3.7361300000000002,4.6534550000000001,4.6534550000000001,0
nue_cc_pc,24,50,2,1.45173,3.2617299999999996,4.7134599999999995,4.7134599999999995,0
nue_cc_pc,25,51,19,10.289300000000001,21.809200000000001,32.098500000000001,32.098499999999994,-7.1054273576010019e-15
numu_cc_fc,0,52,6,2.8219699999999999,1.0994299999999999,3.9213999999999998,3.9213999999999993,-4.4408920985006262e-16
numu_cc_fc,1,53,20,7.2233400000000003,10.174500000000002,17.397840000000002,17.397840000000002,0
numu_cc_fc,2,54,1068,157.488,773.51599999999985,931.00399999999991,931.00400000000013,2.2737367544323206e-13
numu_cc_fc,3,55,3086,370.72199999999998,2256.4700000000003,2627.192,2627.1919999999996,-4.5474735088646412e-13
numu_cc_fc,4,56,4830,499.06,3488.8299999999999,3987.8899999999999,3987.889999999999,-9.0949470177292824e-13
numu_cc_fc,5,57,5603,543.73599999999999,4122.5100000000002,4666.2460000000001,4666.2459999999992,-9.0949470177292824e-13
numu_cc_fc,6,58,5753,554.81399999999996,4377.0699999999997,4931.884,4931.8839999999991,-9.0949470177292824e-13
numu_cc_fc,7,59,5292,476.61599999999999,4138.4700000000003,4615.0860000000002,4615.0860000000021,1.8189894035458565e-12
numu_cc_fc,8,60,4331,431.95999999999998,3474.6900000000001,3906.6500000000001,3906.6499999999987,-1.3642420526593924e-12
numu_cc_fc,9,61,3448,360.404,2799.9000000000001,3160.3040000000001,3160.3039999999996,-4.5474735088646412e-13
numu_cc_fc,10,62,2555,305.52699999999999,2150.8699999999999,2456.3969999999999,2456.3969999999999,0
numu_cc_fc,11,63,1833,241.249,1634.1700000000001,1875.4190000000001,1875.4189999999996,-4.5474735088646412e-13
numu_cc_fc,12,64,1246,197.25800000000001,1121.6500000000001,1318.9080000000001,1318.9079999999999,-2.2737367544323206e-13
numu_cc_fc,13,65,765,154.995,743.048,898.04300000000001,898.04300000000023,2.2737367544323206e-13
numu_cc_fc,14,66,534,138.744,516.71299999999997,655.45699999999999,655.45699999999999,0
numu_cc_fc,15,67,332,93.679900000000004,369.16500000000008,462.84490000000005,462.84490000000011,5.6843418860808015e-14
numu_cc_fc,16,68,196,64.626000000000005,225.53899999999996,290.16499999999996,290.16499999999985,-1.1368683772161603e-13
numu_cc_fc,17,69,138,45.071199999999997,140.55699999999999,185.62819999999999,185.62819999999999,0
numu_cc_fc,18,70,89,34.416200000000003,106.12,140.53620000000001,140.53619999999998,-2.8421709430404007e-14
numu_cc_fc,19,71,42,34.997900000000001,76.753299999999996,111.7512,111.75120000000004,4.2632564145606011e-14
numu_cc_fc,20,72,37,19.524999999999999,40.428699999999999,59.953699999999998,59.953699999999998,0
numu_cc_fc,21,73,30,19.858899999999998,21.423899999999996,41.282799999999995,41.282800000000002,7.1054273576010019e-15
numu_cc_fc,22,74,30,11.332599999999999,17.6173,28.9499,28.9499,0
numu_cc_fc,23,75,14,9.8338800000000006,14.4465,24.280380000000001,24.280380000000001,0
numu_cc_fc,24,76,12,9.3301599999999993,6.9634399999999985,16.293599999999998,16.293599999999994,-3.5527136788005009e-15
numu_cc_fc,25,77,52,53.9923,34.384600000000006,88.376900000000006,88.376900000000006,0
numu_cc_pc,0,78,22,10.120699999999999,8.9355600000000024,19.056260000000002,19.056259999999998,-3.5527136788005009e-15
numu_cc_pc,1,79,282,34.1355,173.12100000000001,207.25650000000002,207.25650000000002,0
numu_cc_pc,2,80,3281,336.517,2283.5799999999999,2620.0969999999998,2620.0970000000002,4.5474735088646412e-13
numu_cc_pc,3,81,7647,661.02300000000002,5812.3999999999996,6473.4229999999998,6473.422999999998,-1.8189894035458565e-12
numu_cc_pc,4,82,11276,917.03499999999997,8844.6000000000004,9761.6350000000002,9761.6349999999984,-1.8189894035458565e-12
numu_cc_pc,5,83,12536,1023.54,10083.299999999999,11106.84,11106.839999999991,-9.0949470177292824e-12
numu_cc_pc,6,84,11876,1051.3199999999999,9873.6000000000004,10924.92,10924.92,0
numu_cc_pc,7,85,10433,1003.1799999999999,8881.0200000000004,9884.2000000000007,9884.2000000000007,0
numu_cc_pc,8,86,8541,920.10400000000004,7287.6099999999997,8207.7139999999999,8207.7139999999999,0
numu_cc_pc,9,87,6501,774.74699999999996,5813.5,6588.2470000000003,6588.2470000000003,0
numu_cc_pc,10,88,4823,642.68899999999996,4403.1899999999996,5045.8789999999999,5045.8790000000017,1.8189894035458565e-12
numu_cc_pc,11,89,3484,530.11699999999996,3140.0199999999995,3670.1369999999997,3670.1369999999993,-4.5474735088646412e-13
numu_cc_pc,12,90,2330,413.70299999999997,2246.71,2660.413,2660.4130000000009,9.0949470177292824e-13
numu_cc_pc,13,91,1653,325.685,1589.8099999999999,1915.4949999999999,1915.4949999999997,-2.2737367544323206e-13
numu_cc_pc,14,92,1075,269.35399999999998,1061.1800000000001,1330.5340000000001,1330.5339999999997,-4.5474735088646412e-13
numu_cc_pc,15,93,726,222.678,779.50199999999995,1002.1799999999999,1002.1799999999999,0
numu_cc_pc,16,94,539,162.61799999999999,548.75500000000011,711.37300000000005,711.37300000000039,3.4106051316484809e-13
numu_cc_pc,17,95,388,132.30000000000001,391.86499999999995,524.16499999999996,524.16499999999985,-1.1368683772161603e-13
numu_cc_pc,18,96,252,109.575,284.08999999999997,393.66499999999996,393.66499999999985,-1.1368683772161603e-13
numu_cc_pc,19,97,181,97.125399999999999,211.298,308.42340000000002,308.42340000000002,0
numu_cc_pc,20,98,163,75.717299999999994,159.64599999999999,235.36329999999998,235.36329999999995,-2.8421709430404007e-14
numu_cc_pc,21,99,115,65.502700000000004,126.56900000000002,192.07170000000002,192.07170000000002,0
numu_cc_pc,22,100,111,59.861199999999997,91.256100000000004,151.1173,151.1173,0
numu_cc_pc,23,101,76,49.150300000000001,72.259699999999995,121.41,121.41000000000001,1.4210854715202004e-14
numu_cc_pc,24,102,60,40.797199999999997,58.050500000000007,98.847700000000003,98.847700000000017,1.4210854715202004e-14
numu_cc_pc,25,103,308,280.471,232.13099999999997,512.60199999999998,512.60199999999998,0
