"tested_point_index","delta_m2_eV2","sin2_2theta_mue","toys","observed_profiled_delta_nll","toy_90_critical","toy_95_critical","toy_99_critical","toy_mean","toy_standard_deviation"
"65","0.01","0.00488532","10000","28.86358015813903","3.769317983459473","5.14944119276538","8.874631652267965","1.350515779419081","1.8892422921657748"
"66","0.01","0.00509956","10000","28.862677845056794","3.9388244884048618","5.383622443613433","8.63713596213995","1.412618939231028","1.9336686298945993"
"67","0.01","0.0053232","10000","28.861735959164548","3.769129181782148","5.180161772579936","8.401478675486658","1.3554790697720054","1.8667534720276675"
"68","0.01","0.00555664","10000","28.86075281807024","3.8616895897856125","5.308056340272742","8.638609084208724","1.3895917999174094","1.9162622318322595"
"69","0.01","0.00580031","10000","28.859726613265195","3.7315909680756363","5.199113366864992","8.565886611358621","1.369497774789302","1.884495645324293"
"70","0.01","0.00605468","10000","28.858655368034363","3.739151787565561","5.024620093689634","8.084208566727568","1.3377605814688613","1.8134550582931381"
"71","0.01","0.0063202","10000","28.857537190183677","3.9056501116205027","5.239006691543523","8.368586263140514","1.3857679447435611","1.8857922749554468"
"72","0.01","0.00659736","10000","28.856370019355552","3.8200377556368608","5.304487628243635","8.921845537376043","1.3927610483387352","1.9372342578801593"
"73","0.01","0.00688668","10000","28.8551516691993","3.8123380164958007","5.07848683069335","8.661697602029164","1.378893858126798","1.853610467882626"
"74","0.01","0.00718868","10000","28.853879953716444","3.8066837939144307","5.266794084360129","8.847830665173547","1.382096843702927","1.9454880128774705"
"75","0.01","0.00750393","10000","28.85255247675923","3.789598113632053","5.257440845108988","8.436377777644054","1.397777826473086","1.8907955636453408"
"76","0.01","0.00783301","10000","28.85116680049157","3.8449240673196527","5.302113851811441","8.48863708779794","1.3964419822110898","1.898073193845901"
"77","0.01","0.00817651","10000","28.849720445447076","3.817473430079474","5.187001100388386","8.31431218054837","1.3698057042366225","1.8692918463809476"
"78","0.01","0.00853508","10000","28.84821068001287","3.6553025031577704","5.088607535684503","8.217998906234584","1.3461464437634378","1.8364301143368946"
"79","0.01","0.00890938","10000","28.84663473104399","3.8722897149000346","5.461325396407062","8.504003677573792","1.392971124750996","1.9407126275945608"
"80","0.01","0.00930008","10000","28.84498978387944","3.7711841025477497","5.262578659601843","8.424549811865063","1.3688789606242646","1.872643010840948"
"81","0.01","0.00970793","10000","28.843272687701585","3.756760336329023","5.136487586680403","8.282244335062671","1.3526171300721388","1.8395521232347123"
"82","0.01","0.0101337","10000","28.841480208215614","3.715886886509054","5.043316571949163","8.399540642733598","1.342618740671571","1.8468888384368944"
"83","0.01","0.010578","10000","28.83960978547543","3.7189309145682046","5.137486228740329","8.488326517131384","1.3386763959382564","1.8634404685814852"
"84","0.01","0.0110419","10000","28.837656923860095","3.8964562799791906","5.486561915718482","8.665743809144203","1.3951537131959124","1.9481348336152382"
"85","0.01","0.0115262","10000","28.83561826536146","3.783323891140469","5.192774187421321","8.621620709722265","1.3822683716158677","1.916976373512054"
"86","0.01","0.0120316","10000","28.83349087387313","3.9542900543355017","5.334190882680161","8.517076280749222","1.3927723455478713","1.9087322864104146"
"87","0.01","0.0125593","10000","28.831269709704316","3.842494721572052","5.199165359305198","8.262200960961081","1.3733221593928373","1.8657296738090396"
"88","0.01","0.01311","10000","28.82895183898694","3.771016508126934","5.123658836276604","8.374982683854569","1.3624128493335268","1.8473774810225752"
"89","0.01","0.0136849","10000","28.82653222460118","3.7511413035335863","5.2493413599122505","8.488712845279679","1.3633036529311116","1.892799069566892"
"90","0.01","0.0142851","10000","28.82400625183601","3.816219091809785","5.231339015524497","8.614361899866594","1.3821969714973432","1.9180199773282511"
"91","0.01","0.0149115","10000","28.821370149190614","3.874199478157948","5.377142746184177","8.53576466478637","1.3883986956178913","1.9034206988123334"
"92","0.01","0.0155655","10000","28.81861804265776","3.783303344545004","5.111316380353401","8.446369301622042","1.341841020345474","1.8544240005286736"
"93","0.01","0.0162481","10000","28.815745743389698","3.772551619318108","5.184014038797841","8.366472440193775","1.3659738285025453","1.8659821672741614"
"94","0.01","0.0169606","10000","28.81274780207326","3.8391367912224155","5.279090698650236","8.764085326749978","1.3754515500282964","1.9164090841952803"
"95","0.01","0.0177044","10000","28.80961835087072","3.7361668155893994","5.121029680739639","8.382449171049245","1.368016942960748","1.8623166164537135"
"96","0.01","0.0184808","10000","28.806351945092104","3.826472447952881","5.315194470161032","8.190678909428584","1.3753535042054699","1.863958529192897"
"97","0.01","0.0192912","10000","28.802942721872853","3.82423583027645","5.188642628375817","8.205831335206597","1.367305646834983","1.859610921062864"
"98","0.01","0.0201372","10000","28.799383979839206","3.9023201153552236","5.251614989629672","8.401965833351142","1.3964514701697994","1.8831755531218801"
"99","0.01","0.0210203","10000","28.79566944138668","3.8268440604971943","5.174612478588983","8.049461764992088","1.3640718375138072","1.8569583576066468"
"100","0.01","0.0219421","10000","28.791792411602614","3.879376475325614","5.28080828765718","8.535402846468116","1.391493257523498","1.8914042568308542"
"101","0.01","0.0229043","10000","28.787745778607928","3.838320173076397","5.3817684795319","8.858777738223353","1.398714469199567","1.935728847782179"
"102","0.01","0.0239088","10000","28.783521593455646","3.7397642280523655","5.199123575858152","8.275542672940617","1.3630273432779079","1.8621333352857614"
"103","0.01","0.0249573","10000","28.779112752626986","3.8979420686229105","5.391444119585344","8.89984920531407","1.4219419006163372","1.9431862044933148"
"104","0.01","0.0260517","10000","28.774511316194094","3.8966346077178287","5.352152917208571","8.40847357265227","1.3957853133717206","1.902166116857998"
"105","0.01","0.0271942","10000","28.769708088103528","3.9275206142699517","5.30278698495141","8.351830744888389","1.3830787284347108","1.8852321051548666"
"106","0.01","0.0283867","10000","28.76469513921694","3.7285175448710106","5.083475205121658","8.459395773961376","1.3778835049890408","1.8525550277020923"
"107","0.01","0.0296316","10000","28.75946244456054","3.849610653289062","5.186928246954835","8.552400390980438","1.3730252013855828","1.8887795785241708"
"108","0.01","0.0309311","10000","28.75400082665351","3.930214934496803","5.397468824987413","8.739755229722789","1.4145847866065833","1.910512641593543"
"109","0.01","0.0322875","10000","28.748300694824138","3.9555111419680316","5.316180867019","8.968767218708763","1.4359322719049843","1.966838867730803"
"110","0.01","0.0337034","10000","28.742351205557384","3.9322320891121763","5.362953418672987","8.294062243320525","1.405529820960137","1.8842339329656534"
"111","0.01","0.0351814","10000","28.736141524070945","3.7691066019658592","5.30821641942714","8.750242159352695","1.412190108913428","1.9255002235373622"
"112","0.01","0.0367243","10000","28.729659984758484","3.8412000049528956","5.231870929716592","8.820847432068774","1.4087902395644731","1.8983254472816071"
"113","0.01","0.0383348","10000","28.722895352317323","3.788602158616925","5.143294987316665","8.058187637524156","1.3693272645560863","1.8240780601856628"
"114","0.01","0.0400159","10000","28.71583514234419","3.9310758436314472","5.299294604548322","8.50831062931104","1.4092654782514769","1.9041763770082936"
"115","0.01","0.0417707","10000","28.708466462651927","3.832507154036705","5.29537075757122","8.680812795725785","1.389285750279295","1.8864040983684536"
"116","0.01","0.0436025","10000","28.700775594526874","3.884331929958819","5.333874504995094","8.57757517424875","1.4147308494583242","1.9160685507453872"
"117","0.01","0.0455146","10000","28.692748833724522","3.8553143032724506","5.143091354353487","8.235816566719848","1.3766657585636644","1.848237357776071"
"118","0.01","0.0475106","10000","28.684371232308024","3.801719500111801","5.214776360665553","8.57201242572637","1.3930507683005577","1.8806950011128398"
