reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
10,0,0,0,0,0,0,0.0135455966167048,0.024521376401067559,0.047164049894638183,0.091176289830802767,0.23198034520050642,0.19332234858477196,0.1169564310411792,0.10329313987153439,0.087218245108916806,0.069480355200911309,0.049035418025362015,0.036776579356153243,0.032738409316748776,0.023827774716365945,0.021031890483034291,0.016377107046936443,0.016319493057606094,0.011615400508237594,0.010135318749977289,0.01098265446997226,0.0089376707332964184,0.0078931674652884583,0.0076025189865126103,0.0084519220061636171,0.010550950737887766,0.0039626808909164228,0.0093344543112021099,0.015978619385760919,0.01099031324974608,0.0055265075720369958,0.0058983133916849853,0.0065604617507751591,0.0025633873697181687,0.001976174207467268,0,0.0054691832525453404,0.0066337097984295905,0.013211421525757414,0,0,0.010012977691293551,0.012440701054661335,0,0,0,0,0,0,0.01837391379533208,0,0.027838999673906427,0,0,0.034821925040126371
11,0,0,0,0,0.34462753351109959,0.0089806542791535104,0.0044237687012794189,0.012524391862285645,0.028369619142796721,0.045624274665342086,0.085195991655855619,0.19588222207633887,0.16647800588218814,0.12753622721103139,0.10375688914042669,0.089177942443540936,0.068632614548186213,0.0581110651250204,0.045317387585591694,0.037190179114100025,0.026734734068274882,0.023115561301621436,0.027134131678842453,0.015602436717190029,0.017529956203983871,0.014545555025134318,0.01516600911630586,0.012899280352624051,0.013187113960776318,0.0089962802725670841,0.01210273340464175,0.0086162128021192094,0.012659934297515911,0.0077023425277279907,0.0048762298064952267,0.0095606383662126607,0.0060792261493287578,0.0056566073934245726,0.013220212844616726,0.0028049068240742284,0.0074997549406691276,0,0.010444672620729425,0,0.0056688889130754967,0.014052719881377103,0.027442480764248215,0,0.050323742481651751,0,0,0.024464915122464934,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0.0044953374891874591,0.013627262823191219,0.014278982300706032,0.028923316557730755,0.056614704960696295,0.097872729973978195,0.18872106367714825,0.15445121834202649,0.11636659473761897,0.10116143762900962,0.092403782749104144,0.069437540303698586,0.057842611468020722,0.054782486093369213,0.040100667968631099,0.033972638109687078,0.033136955460434957,0.025540810166142004,0.018873499263462278,0.020259711375628736,0.016037539935937279,0.014185943959980475,0.015277771036408632,0.012378645880539989,0.014137327484620691,0.010508021462651526,0.0082359702027059636,0.012538027583504679,0.0060863198220555406,0.011469395924718571,0.015559340146893287,0.0072986813497522172,0.0094961757564906747,0.0080088945113613707,0.0053959504355119122,0.0062839209664339989,0.0038109628222998348,0.0054607044496717107,0,0,0,0.021205695433805086,0,0,0,0,0.073858227274643848,0.031788010753750817,0,0,0.027838999673906427,0,0,0
13,0,0,0,0,0,0.0074979742617782962,0.001003544587606762,0.018458825269527322,0.0070514451272703652,0.016589101871671817,0.033182932126825042,0.04662239303921796,0.092326502025809443,0.17060360380125847,0.15273069293333716,0.11879517813279201,0.10269387149114771,0.087032991502796073,0.078540527748774874,0.064917458288648311,0.054838613227917124,0.044652269969730651,0.030540606125489294,0.031637681664726316,0.02609151378633983,0.020468984638880583,0.019138973560145486,0.017093867681525973,0.019505891887499485,0.019227677851862128,0.013133972197985767,0.012887926947240896,0.015181653183373537,0.010934156614780753,0.0075362936206077756,0.0084083452955383137,0.0095558854378549746,0.0056976036198631641,0.005707099598640279,0.011025897089778294,0.022572356783151202,0.012077663196066568,0.0092200991151279253,0.020962138601843119,0.0092567991184668869,0.040290522195058916,0,0.017529988758287506,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0.0080141094250702309,0,0.0015510541852514679,0.0052749004626817045,0.008331088863040275,0.012998604707637432,0.02993155775232784,0.044840342493123679,0.088054483438334094,0.16476773942451697,0.12798981515231603,0.11651670286614019,0.10062191892569981,0.10028702323062989,0.08002682747404545,0.063039574383609076,0.060657800088260931,0.043121412327070417,0.036374687945118812,0.033628299029125973,0.025949563872411853,0.026414356495483429,0.020107810572440547,0.024637766020910813,0.018606268133930914,0.019684037387680164,0.016537087182481165,0.013546441745680725,0.022123005945860353,0.019624579732747154,0.014869334564353815,0.013633429918634012,0.005822242151798101,0.01936673446038506,0.0075859878556157247,0.025375510094628698,0.014229611407790166,0.014420407018197546,0.0054607044496717107,0,0,0.014212041301565002,0,0,0,0,0,0,0.031788010753750817,0.0031186491572161557,0,0.055467522194124382,0.027672988242481114,0,0
15,0,0,0,0,0,0,0.001824321197040455,0.0024196168602989604,0.0030151065573905565,0.0046580800079401297,0.0076631710784812856,0.019761073030471921,0.035705646912235316,0.053540061846030412,0.08722246840975667,0.1494555087928742,0.11896771100177117,0.11709370928063477,0.097674919412129066,0.098369919818065976,0.086993035119497117,0.063104587654023353,0.061442468043637656,0.050857635494498669,0.041167965765462819,0.041365366352853289,0.027684389741765236,0.033243801979752942,0.025085966260939629,0.021358898624153976,0.024314940157659684,0.017928230630871431,0.023882952431609709,0.021749248658319061,0.019570094890275547,0.016034596070244704,0.009263594770676245,0.01758971809142337,0.014345656245558329,0.021610521975986872,0.020992810195527775,0.020541482195371483,0.010444672620729425,0.0077507170760857036,0.029180661313938663,0.0080730684108008335,0,0,0,0,0,0,0,0,0,0,0,0,0.041292644907270852,0
16,0,0,0,0,0,0,0,0.0016034853994097114,0.0033446823064869824,0.0046031653136998805,0.0070910970425249187,0.010870301385660669,0.016542096596392657,0.028126371099142712,0.044131718955619952,0.083807643529193621,0.12743914895314645,0.10786607213806107,0.10635504976989696,0.097340017876531598,0.093428638031643016,0.085533080096541911,0.070058192546019152,0.054769020018557588,0.048584277767227541,0.051405090137846964,0.043272842683541798,0.033601682923404486,0.033061247370329672,0.021642631393534936,0.022915627692488824,0.028151506706272259,0.022960244509791297,0.020052537169705453,0.020013756380264678,0.019017288802760466,0.01908979551400505,0.015537732898988209,0.03126141724536801,0.011025897089778294,0.0061997787438867451,0.026572368796199564,0.018676555889687273,0,0.008046206218622334,0.013587236581675986,0.060065626977649667,0,0.065076834445570858,0.019607143290356743,0.023888546429694044,0,0.030786227482609847,0,0.01837391379533208,0.021195444376876194,0,0,0.030627652120433117,0
17,0,0,0,0,0,0,0,0.0027552973184975203,0.00075043888074381672,0.0026667040454143899,0.004717765211266791,0.005577534713789291,0.0079669958865940579,0.015694635489927833,0.03163827315119766,0.052356937934676669,0.087870303570841829,0.12073303443344753,0.10385657892661598,0.092866651681403914,0.093026090380971191,0.11055571207133405,0.082652506198469283,0.067262522810114592,0.075014245942251534,0.053308709949550726,0.038607216627627748,0.039087860545437725,0.033656778388733204,0.03160534956849629,0.036386922971955192,0.031728904545020205,0.024164462143112252,0.026493280733573127,0.019237555997436515,0.021836123628863745,0.018677557270154847,0.021551522403458225,0.024634412041897279,0.018540717968191775,0.019591632008475336,0.01722228747152468,0.010444672620729425,0.022716822208793848,0.023582880697284512,0.0080730684108008335,0.014212041301565002,0.012440701054661335,0.015653548598683845,0,0,0.024464915122464934,0,0.018261716423906591,0,0.030084010988171185,0,0,0,0
18,0,0,0,0,0,0,0,0,0.00044686723765749529,0.0013430354351801766,0.0022425220610181235,0.0045470554021937145,0.0072485187004677999,0.012248581920028792,0.016793729216865609,0.03027081654490418,0.049914467282569056,0.088912594331183412,0.10708984236256668,0.094375693966972735,0.091508291706512382,0.084599355441310753,0.082769350440156778,0.081765092792882257,0.067001777565058263,0.062325054927354545,0.060099841694765128,0.044076038418902917,0.037710463127989549,0.039131259461820403,0.039247162948940206,0.026801019051441711,0.035510045903579521,0.026017659830765014,0.025421577505551386,0.015573837251066916,0.016062358469477043,0.013602955254380931,0.025183486218415159,0.018099445764622052,0.018595547141689178,0.0031419604832169995,0.026672081499213695,0.0054607044496717107,0.02596019800283135,0.0080730684108008335,0,0.027697850443753849,0.034850901576637922,0.033421196049598235,0,0,0,0.050049727177657412,0,0.021195444376876194,0.060513357107703919,0,0.061255304240866233,0
19,0,0,0,0,0,0,0,0.0012181390625678962,0.00070033377676068814,0.0010554697318930209,0.0012669111468886082,0.001684438281349876,0.0052435743797153087,0.0064671571173824374,0.010668487497295532,0.017935449531947065,0.030190040354049839,0.051346158658871349,0.081728666862957253,0.10521498665562921,0.086458428367515897,0.087089452549917568,0.089077470217704291,0.095122126245342137,0.077551429231965577,0.080026609623469663,0.078669431914676749,0.065934046387279205,0.051926806283242102,0.054295879953346046,0.036080204787510298,0.03980658199635214,0.031057736440430524,0.02879662032375286,0.024376578957475682,0.026773077664032013,0.023561188105288851,0.023369375118977114,0.019395654602348544,0.01580697812131979,0.04415483741705787,0.0089191594213162435,0,0.025006834835207839,0,0.011458607541333578,0.028424082603130004,0.017529988758287506,0.015653548598683845,0,0.067812996085743815,0.030003523368569294,0,0,0.031983311741162229,0,0,0.048170129653794538,0.037561441415997827,0
